epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2447,0.68048,0.96245,0.95483,0.85806,0.83087,0.83389,0.67292,0.7458,1.04105,1.05671,0.000553082,0.000553082,0.000553082
2,72.1,0.72687,0.64065,0.9728,0.95262,0.89883,0.95046,0.75338,0.7488,0.71011,1.04448,0.00107216,0.00107216,0.00107216
3,107.345,0.75498,0.60781,0.97326,0.96885,0.92538,0.9745,0.77582,0.71667,0.51383,1.01378,0.00155456,0.00155456,0.00155456
4,141.885,0.72752,0.56109,0.98062,0.94962,0.89862,0.95028,0.75624,0.70518,0.60286,0.99511,0.00150197,0.00150197,0.00150197
5,175.378,0.68075,0.51345,0.95635,0.97582,0.94027,0.98636,0.84153,0.58313,0.39949,0.93584,0.00144696,0.00144696,0.00144696
6,209.887,0.64415,0.47742,0.9431,0.9802,0.96476,0.99068,0.83148,0.60308,0.40178,0.94451,0.00139195,0.00139195,0.00139195
7,243.585,0.65222,0.43984,0.92783,0.97606,0.94703,0.98283,0.84827,0.57675,0.38706,0.93186,0.00133693,0.00133693,0.00133693
8,278.196,0.61765,0.42667,0.92128,0.96477,0.95148,0.98728,0.84766,0.57425,0.36107,0.92455,0.00128192,0.00128192,0.00128192
9,311.194,0.62717,0.42216,0.93682,0.98184,0.95572,0.9909,0.86354,0.54944,0.34159,0.91835,0.00122691,0.00122691,0.00122691
10,345.229,0.60915,0.42803,0.92366,0.9778,0.96235,0.99233,0.84301,0.57445,0.33906,0.91447,0.0011719,0.0011719,0.0011719
11,378.801,0.60374,0.39919,0.91258,0.98079,0.95775,0.9897,0.85639,0.55207,0.33715,0.92142,0.00111689,0.00111689,0.00111689
12,411.956,0.55781,0.37235,0.89644,0.97608,0.96439,0.99059,0.86446,0.53645,0.31024,0.9107,0.00106188,0.00106188,0.00106188
13,446.269,0.55536,0.36191,0.89004,0.97796,0.96582,0.99221,0.86709,0.51441,0.29555,0.89881,0.00100687,0.00100687,0.00100687
14,480.593,0.55716,0.35653,0.9072,0.97162,0.97167,0.99131,0.86721,0.51542,0.30099,0.89405,0.000951857,0.000951857,0.000951857
15,515.85,0.55453,0.36637,0.90943,0.97586,0.96258,0.98969,0.86883,0.52648,0.30369,0.89646,0.000896846,0.000896846,0.000896846
16,549.613,0.5572,0.34613,0.91054,0.98586,0.96417,0.99229,0.8759,0.51322,0.29483,0.90153,0.000841835,0.000841835,0.000841835
17,583.934,0.53827,0.34189,0.89745,0.97997,0.97304,0.99247,0.88465,0.49436,0.28173,0.888,0.000786824,0.000786824,0.000786824
18,618.838,0.54957,0.3393,0.89175,0.96715,0.96987,0.99225,0.86862,0.50522,0.2982,0.88813,0.000731813,0.000731813,0.000731813
19,652.155,0.53299,0.33265,0.88456,0.984,0.97208,0.99222,0.87533,0.49586,0.28022,0.88299,0.000676802,0.000676802,0.000676802
20,686.221,0.51922,0.31268,0.88011,0.97303,0.97971,0.99328,0.8888,0.4808,0.26301,0.87895,0.000621791,0.000621791,0.000621791
21,722.02,0.50317,0.2817,0.88608,0.98936,0.96578,0.99285,0.88926,0.48765,0.27529,0.87483,0.00056678,0.00056678,0.00056678
22,756.856,0.48963,0.28334,0.89153,0.98196,0.97746,0.99319,0.8824,0.50157,0.27087,0.8828,0.000511769,0.000511769,0.000511769
23,790.575,0.49955,0.2789,0.87851,0.97932,0.97972,0.98987,0.87396,0.49643,0.27129,0.87656,0.000456758,0.000456758,0.000456758
24,823.719,0.49187,0.26934,0.87976,0.98161,0.98072,0.99277,0.89206,0.4833,0.26087,0.87395,0.000401747,0.000401747,0.000401747
25,857.585,0.47284,0.25655,0.86381,0.9838,0.97615,0.99286,0.89042,0.47555,0.2527,0.87069,0.000346736,0.000346736,0.000346736
26,891.651,0.46095,0.24876,0.86753,0.97966,0.9769,0.99077,0.88269,0.48676,0.25168,0.86955,0.000291725,0.000291725,0.000291725
27,925.596,0.45233,0.23277,0.86607,0.98299,0.98058,0.993,0.89722,0.46286,0.23752,0.85877,0.000236714,0.000236714,0.000236714
28,959.734,0.45407,0.22903,0.85596,0.97849,0.98128,0.98654,0.88534,0.46926,0.24132,0.86183,0.000181703,0.000181703,0.000181703
29,992.69,0.44841,0.22711,0.85834,0.97893,0.98073,0.98653,0.89071,0.45335,0.23513,0.85554,0.000126692,0.000126692,0.000126692
30,1025.95,0.42843,0.21069,0.84468,0.98238,0.97906,0.98917,0.89458,0.44788,0.22569,0.85415,7.1681e-05,7.1681e-05,7.1681e-05
